                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6581,                 1.5082,                 2.4363,                0.36661,                0.88422,                0.48781,                0.25612,                  1.646,                 1.6641,                  2.436,              0.0096634,              0.0096634,              0.0096634
                     36,                  1.621,                  1.439,                 2.3899,                0.58134,                0.76652,                0.72965,                0.39486,                 1.5471,                 1.5854,                 2.5228,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.6282,                 1.4838,                 2.4622,                0.51777,                 0.8235,                0.60117,                0.34632,                 1.3406,                 1.4021,                 2.4178,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.5471,                 1.4444,                 2.3739,                0.46831,                0.72683,                 0.5081,                0.30494,                 1.3492,                 1.4502,                 2.4203,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.5906,                 1.4312,                 2.3431,                0.58246,                0.92106,                0.69147,                0.39268,                 1.3562,                 1.8855,                 2.3004,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.6345,                 1.4312,                 2.4143,                 0.6022,                 0.6714,                0.66609,                0.39864,                 1.3249,                 2.1464,                 2.1927,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.5163,                 1.3566,                 2.2936,                0.62414,                0.65965,                 0.7149,                0.36493,                 1.6865,                 1.5395,                 2.5848,               0.009604,               0.009604,               0.009604
                     42,                 1.5866,                 1.3522,                 2.3287,                0.19913,                0.23636,                0.24602,                 0.1189,                  1.962,                 2.6013,                 2.7965,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.5315,                 1.3299,                 2.3059,                0.33444,                0.33191,                0.17895,                0.05918,                 2.9823,                 2.9415,                  4.369,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.5138,                 1.2903,                 2.2765,                0.36244,                0.43675,                0.33306,                0.13838,                 2.1576,                 3.9238,                 3.2358,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.5647,                 1.3529,                 2.3415,                0.74791,                0.36588,                 0.4241,                0.17436,                 2.4319,                 2.8148,                 3.6262,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.5224,                 1.3419,                 2.3461,                0.65886,                0.62063,                 0.6297,                0.34071,                 1.6727,                 1.6604,                 2.6278,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.5527,                 1.3902,                 2.3304,                0.54885,                0.81009,                0.85693,                 0.4579,                 1.2924,                 3.2128,                 2.3124,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.4989,                  1.311,                 2.2745,                0.65234,                 0.8239,                0.77336,                0.41921,                 1.5646,                 1.5894,                 2.4095,              0.0095347,              0.0095347,              0.0095347
                     49,                  1.502,                 1.1999,                  2.318,                0.67996,                0.59239,                0.62599,                0.32804,                 1.4769,                 2.2603,                 2.5666,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.5251,                 1.2188,                  2.324,                0.72881,                0.76652,                0.77912,                0.46959,                 1.4028,                   1.47,                 2.3693,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.5202,                 1.1519,                 2.3071,                0.79393,                0.87155,                0.90009,                0.54406,                 1.3289,                 1.0654,                 2.3286,               0.009505,               0.009505,               0.009505
                     52,                 1.5009,                 1.1119,                 2.3064,                0.69102,                0.86325,                0.83547,                0.48606,                 1.3847,                  1.547,                 2.4025,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.5363,                 1.1523,                 2.3449,                0.83545,                0.55713,                0.67827,                  0.407,                  1.414,                 1.9377,                  2.456,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.5303,                 1.1049,                 2.2969,                 0.8426,                0.83998,                0.85557,                0.48394,                 1.5943,                 1.1731,                 2.4865,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.5216,                 1.1584,                 2.3606,                0.32289,                0.43937,                0.37432,                0.18149,                 1.7271,                 3.3064,                 2.7085,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.5567,                 1.2261,                 2.3648,                 0.7617,                0.86009,                 0.8311,                0.50974,                 1.4093,                 1.2832,                  2.356,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.5573,                 1.1604,                  2.343,                0.75025,                0.83814,                  0.858,                0.49278,                  1.474,                   1.25,                 2.4635,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.4892,                 1.1586,                 2.3141,                0.82447,                 0.5714,                0.71687,                0.35637,                 1.6603,                 2.1536,                 2.5115,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.4877,                 1.1098,                 2.2629,                0.81758,                0.82325,                0.86167,                0.50233,                 1.4955,                 1.1417,                 2.5474,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.4557,                 1.0202,                 2.2496,                0.75375,                0.91667,                 0.8692,                0.55503,                  1.308,                 1.0871,                 2.1773,              0.0094159,              0.0094159,              0.0094159
                     61,                 1.4768,                  1.073,                 2.2729,                0.87527,                0.80583,                0.85262,                0.48157,                 1.6057,                 1.6051,                 2.5624,               0.009406,               0.009406,               0.009406
                     62,                 1.4928,                0.98623,                 2.2805,                0.70436,                0.92565,                0.85666,                0.55739,                 1.2059,                 1.8431,                 2.0661,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.4557,                 1.0263,                 2.2596,                0.89827,                0.63946,                0.74144,                0.41931,                 1.5454,                 1.3557,                 2.5995,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.4754,                 1.0284,                 2.2674,                0.83581,                0.61701,                0.71767,                0.42678,                 1.6168,                 1.9536,                 2.5987,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.4805,                 1.0189,                 2.2803,                0.88639,                0.81181,                0.88769,                0.53088,                  1.351,                 1.4125,                 2.3676,              0.0093664,              0.0093664,              0.0093664
